test test test 2023-01-12 12:25:11,544 - 'w'
 2023-01-12 12:25:11,659 - 'e'
 2023-01-12 12:25:11,856 - Key.backspace
 2023-01-12 12:25:11,984 - Key.backspace
 2023-01-12 12:25:12,302 - Key.enter
 2023-01-12 12:25:12,461 - Key.enter
 2023-01-12 12:25:12,554 - 'w'
 2023-01-12 12:25:12,644 - 'e'
 2023-01-12 12:25:12,826 - Key.space
 2023-01-12 12:25:13,140 - 'b'
 2023-01-12 12:25:13,220 - 'e'
 2023-01-12 12:25:13,478 - Key.space
 2023-01-12 12:25:13,670 - 't'
 2023-01-12 12:25:13,866 - 'e'
 2023-01-12 12:25:14,059 - 's'
 2023-01-12 12:25:14,278 - 't'
 2023-01-12 12:25:14,366 - 'i'
 2023-01-12 12:25:14,502 - 'n'
 2023-01-12 12:25:14,604 - Key.space
 2023-01-12 12:25:14,861 - 's'
 2023-01-12 12:25:15,048 - 't'
 2023-01-12 12:25:15,156 - Key.backspace
 2023-01-12 12:25:15,380 - Key.backspace
 2023-01-12 12:25:15,505 - Key.backspace
 2023-01-12 12:25:15,722 - 'g'
 2023-01-12 12:25:15,841 - Key.space
 2023-01-12 12:25:15,991 - 's'
 2023-01-12 12:25:16,159 - 't'
 2023-01-12 12:25:16,241 - 'u'
 2023-01-12 12:25:16,368 - 'f'
 2023-01-12 12:25:16,536 - 'f'
 2023-01-12 12:25:16,616 - Key.space
 2023-01-12 12:25:16,735 - 'n'
 2023-01-12 12:25:16,891 - 'g'
 2023-01-12 12:25:17,059 - 'l'
 2023-01-12 12:25:17,203 - Key.space
 2023-01-12 12:25:17,769 - 'y'
 2023-01-12 12:25:17,843 - 'o'
 2023-01-12 12:25:57,334 - Key.enter
 2023-01-12 12:25:57,469 - '1'
 2023-01-12 12:25:57,597 - '2'
 2023-01-12 12:25:57,805 - '3'
 2023-01-12 12:25:58,054 - '4'
 2023-01-12 12:25:58,278 - '5'
 2023-01-12 12:25:58,450 - '6'
 2023-01-12 12:25:58,643 - '7'
 2023-01-12 12:25:58,831 - '8'
 2023-01-12 12:25:59,087 - '9'
 2023-01-12 12:26:03,697 - Key.enter
 2023-01-12 12:26:03,865 - Key.enter
 2023-01-12 12:26:04,930 - 'y'
 2023-01-12 12:26:05,077 - 'y'
 2023-01-12 12:26:05,230 - 'y'
 2023-01-12 12:26:05,374 - 'y'
 2023-01-12 12:26:05,477 - 'y'
 2023-01-12 12:26:05,611 - 'y'
